,tweet,subjectivity,polarity,analysis
0,"Apologies, 10.2 release week Friday",0.0,0.0,Neutral
1,"First days probably 100/100, 99, 98, etc.",0.3333333333333333,0.25,Positive
2,"Wow, lot interest FSD beta! Plan roll version 10.2 midnight Friday, on-ramp ~1000 owners/day, prioritized safety rating.",1.0,0.125,Positive
3,"If tiles super thin, get hot plasma “waterfalling” edges tiles, creating hotspots. That said, I’m entirely convinced couldn’t done several overlapping scales metal sheet insulator scale armor &amp; primary structure.",0.5819444444444445,0.09722222222222221,Positive
4,Headed tank vent knocked tiles,0.0,0.0,Neutral
5,_peak Cybertruck option package,0.0,0.0,Neutral
6,_peak Of course,0.0,0.0,Neutral
7,“ISIS”,0.0,0.0,Neutral
8,Where Hitchcock need him?,0.0,0.0,Neutral
9,Illustrates Tesla sales soon exceed mass universe,0.0,0.0,Neutral
10,"_avoigt In electric future, batteries essential transport oil today",0.2125,0.0,Neutral
11,Noted. You able press mic button &amp; say “bug report …”,0.625,0.5,Positive
12,Ok,0.5,0.5,Positive
13,"A helpful case consider, roads intersect unusual angles",1.0,0.2,Positive
14,True,0.65,0.35,Positive
15,“Comes discreet packaging”,0.0,0.0,Neutral
16,Well ya see need reach around rocket uhh …,0.0,0.0,Neutral
17,🤣,0.0,0.0,Neutral
18,Absolutely! Tesla team rocks 💕,0.9,0.25,Positive
19,"_geoff We use cobalt cars &amp; tiny amounts others (going zero soon), whereas phones &amp; laptops primarily use cobalt",0.5,0.2,Positive
20,"And booster used 70m, required awkward half barrel width steel, it’s 69m",0.5833333333333334,-0.3833333333333333,Negative
21,_Stevens_Gr Haha true rocket engine development,0.475,0.275,Positive
22,,0.0,0.0,Neutral
23,Very much beta calculation. It evolve time accurately predict crash probability.,0.4466666666666667,0.33000000000000007,Positive
24,_ Yes,0.0,0.0,Neutral
25,"FSD Beta request button goes live tonight, FSD 10.1 needs another 24 hours testing, tomorrow night",0.5,0.13636363636363635,Positive
26,"Chris early employee SpaceX, made significant contribution, cofounder",0.5875,0.2375,Positive
27,: More pics return →,0.5,0.5,Positive
28,,0.0,0.0,Neutral
29,,0.0,0.0,Neutral
30,Maybe reality Rick &amp; Morty episode,0.0,0.0,Neutral
31,I didn’t think time,0.0,0.0,Neutral
32,So pointy!,0.0,0.0,Neutral
33,Super important Doge fees drop make things like buying movie tix viable,0.8333333333333333,0.3666666666666667,Positive
34,_tesla Giga Berlin help lot,0.0,0.0,Neutral
35,That would break NASA budget!,0.0,0.0,Neutral
36,"AI used 1, last year",0.06666666666666667,0.0,Neutral
37,Birth rate collapse biggest threat human civilization,0.1,0.0,Neutral
38,We always flight readiness reviews! This argument makes sense.,0.0,0.0,Neutral
39,_tesla Logistics underrated,0.0,0.0,Neutral
40,"_tesla Exactly. Giga Shanghai makes cars export first half quarter, cars far away parts China, cars nearby parts China. Net result crazy wave deliveries end quarter. It tough team, we’re hoping reduce wave Q4 &amp; Q1.",0.4976190476190476,-0.07936507936507937,Negative
41,Great view Earth!,0.75,1.0,Positive
42,Tesla king car farts!,0.0,0.0,Neutral
43,"_ma_vive Hopefully worldwide long-term, insurance regulatory labyrinth/escape room!",0.0,0.0,Neutral
44,"The regulatory process approval offer insurance extremely slow &amp; complex, varying considerably state. Tesla hoping offer real-time (based actual driving history) insurance Texas next month. Probably next year get approval New York.",0.2577922077922078,-0.051948051948051965,Negative
45,": The moment amazing crew, , , opened cupola fo…",0.9,0.6000000000000001,Positive
46,"Good point, could enable visualization control. Will enable option hopefully next month.",0.30000000000000004,0.35,Positive
47,10.1 solve last cone issue,0.06666666666666667,0.0,Neutral
48,: Solar Roof powers Buffalo Heritage Carousel NY 🌞,0.0,0.0,Neutral
49,Definitely upgraded toilets :) We challenges flight.,0.75,0.25,Positive
50,"Not super surprising, given internal combustion engine cars literally “combustion” name",0.38888888888888884,0.17777777777777778,Positive
51,"Yeah, little oven heating food &amp; Starlink wifi",0.5,-0.1875,Negative
52,Just met crew Florida congratulate person. Such great people!,0.625,0.5,Positive
53,Tesla yet decided fourth Gigafactory location,0.0,0.0,Neutral
54,"To precise, completely &amp; immediately reusable orbital rockets fundamental breakthrough needed make life multiplanetary",0.6000000000000001,0.25,Positive
55,Which games like most?,0.5,0.5,Positive
56,Nice work!,1.0,0.75,Positive
57,Good,0.6000000000000001,0.7,Positive
58,"No, turned car owner",0.0,0.0,Neutral
59,_Hess_ Yes,0.0,0.0,Neutral
60,Tesla insurance calculator show status real-time &amp; tell actions needed rated “good driver”,0.6000000000000001,0.7,Positive
61,7 days approval log driving style,0.0,0.0,Neutral
62,Not tiny engine,0.5,0.0,Neutral
63,"Remarkable people realize capability exists. Many think 5 years away! With public beta rollout coming weeks, awareness improve dramatically.",0.4388888888888889,0.4583333333333333,Positive
64,_lion Seems way,0.0,0.0,Neutral
65,"Looks fine. Take 2 aspirin, call morning.",0.5,0.4166666666666667,Positive
66,Some amount cooperation would good,0.6000000000000001,0.7,Positive
67,Absolutely,0.9,0.2,Positive
68,He’s still sleeping,0.0,0.0,Neutral
69,_feed Needs little warming,0.5,-0.1875,Negative
70,_munro _ I wish,0.0,0.0,Neutral
71,_munro _ So products truly love 💕,0.6,0.5,Positive
72,Count $50M,0.0,0.0,Neutral
73,Congratulations !!!,0.0,0.0,Neutral
74,": Splashdown! Welcome back planet Earth, !",0.45,0.4,Positive
75,_ One favorite movies,1.0,0.5,Positive
76,"Yes No, get refilled &amp; maybe cargo transfer",0.0,0.0,Neutral
77,"_nafnlaus Making life multiplanetary extremely hard, impossible, problem",0.7708333333333333,-0.47916666666666663,Negative
78,: Dragon entered last orbit reentry splashdown →,0.06666666666666667,0.0,Neutral
79,Still basically nothing compared orbital mass flux needed base moon Mars,1.0,-0.8,Negative
80,: Orbital moonrise,0.0,0.0,Neutral
81,"Probably trap Tesla production Autopilot build, won’t work FSD. Using ring cones would stop FSD though.",0.0,0.0,Neutral
82,It,0.0,0.0,Neutral
83,"This engine needs 10X lower cost. Order magnitude change good reason new name. What really matters yet another “advanced” rocket engine, many devices, never cheap (&lt;$1000/Ton-force) rocket engine. Not even close",0.5090909090909091,0.2893939393939394,Positive
84,Sigh,0.0,0.0,Neutral
